,longitude,latitude,housing_median_age,median_income,median_house_value,ocean_proximity,rooms_per_bedroom,population_per_household,bedroom_per_household,room_per_household
0,-122.23,37.88,41.0,8.3252,452600.0,2,6,2,1,6
1,-122.22,37.86,21.0,8.3014,358500.0,2,6,2,0,6
2,-122.24,37.85,52.0,7.2574,352100.0,2,7,2,1,8
3,-122.25,37.85,52.0,5.6431,341300.0,2,5,2,1,5
4,-122.25,37.85,52.0,3.8462,342200.0,2,5,2,1,6
5,-122.25,37.85,52.0,4.0368,269700.0,2,4,2,1,4
6,-122.25,37.84,52.0,3.6591,299200.0,2,5,2,0,4
7,-122.25,37.84,52.0,3.12,241400.0,2,4,1,1,4
8,-122.26,37.84,42.0,2.0804,226700.0,2,3,2,1,4
9,-122.25,37.84,52.0,3.6912,261100.0,2,5,2,0,4
10,-122.26,37.85,52.0,3.2031,281500.0,2,5,2,1,5
11,-122.26,37.85,52.0,3.2705,241800.0,2,4,2,1,4
12,-122.26,37.85,52.0,3.075,213500.0,2,5,2,1,5
13,-122.26,37.84,52.0,2.6736,191300.0,2,3,1,1,4
14,-122.26,37.85,52.0,1.9167,159200.0,2,4,1,1,4
15,-122.26,37.85,50.0,2.125,140000.0,2,3,2,1,4
16,-122.27,37.85,52.0,2.775,152500.0,2,5,2,1,5
17,-122.27,37.85,52.0,2.1202,155500.0,2,4,2,0,4
18,-122.26,37.84,50.0,1.9911,158700.0,2,4,2,1,5
19,-122.27,37.84,52.0,2.6033,162900.0,2,5,2,1,5
20,-122.27,37.85,40.0,1.3578,147500.0,2,4,2,1,4
21,-122.27,37.85,42.0,1.7135,159800.0,2,4,2,1,4
22,-122.27,37.84,52.0,1.725,113900.0,2,4,2,1,5
23,-122.27,37.84,52.0,2.1806,99700.0,2,5,2,1,5
24,-122.27,37.84,52.0,2.6,132600.0,2,5,2,1,5
25,-122.28,37.85,41.0,2.4038,107500.0,2,4,2,1,4
26,-122.28,37.85,49.0,2.4597,93800.0,2,4,2,1,4
27,-122.28,37.85,52.0,1.808,105500.0,2,4,2,1,4
28,-122.28,37.84,50.0,1.6424,108900.0,2,4,2,1,4
29,-122.28,37.84,52.0,1.6875,132000.0,2,4,2,1,4
30,-122.28,37.84,49.0,1.9274,122300.0,2,4,2,1,5
31,-122.28,37.84,52.0,1.9615,115200.0,2,4,2,1,4
32,-122.27,37.84,48.0,1.7969,110400.0,2,4,3,1,5
33,-122.27,37.83,49.0,1.375,104900.0,2,4,2,1,5
34,-122.27,37.83,51.0,2.7303,109700.0,2,4,2,1,4
35,-122.27,37.83,49.0,1.4861,97200.0,2,4,2,1,4
36,-122.27,37.83,48.0,1.0972,104500.0,2,4,2,1,4
37,-122.28,37.83,52.0,1.4103,103900.0,2,3,2,0,3
38,-122.26,37.83,52.0,3.48,191400.0,2,4,2,1,4
39,-122.26,37.83,52.0,2.5898,176000.0,2,3,1,1,3
40,-122.26,37.83,52.0,2.0978,155400.0,2,3,2,1,4
41,-122.26,37.83,51.0,1.2852,150000.0,2,3,2,1,3
42,-122.26,37.84,49.0,1.025,118800.0,2,3,2,1,3
43,-122.26,37.84,52.0,3.9643,188800.0,2,4,2,1,4
44,-122.26,37.83,52.0,3.0125,184400.0,2,4,2,1,4
45,-122.26,37.83,52.0,2.6768,182300.0,2,3,1,1,4
46,-122.26,37.83,50.0,2.026,142500.0,2,3,2,1,3
47,-122.27,37.82,43.0,1.7348,137500.0,2,3,2,1,3
48,-122.26,37.82,40.0,0.9506,187500.0,2,3,2,1,3
49,-122.27,37.82,40.0,1.775,112500.0,2,2,1,1,2
50,-122.27,37.82,21.0,0.9218,171900.0,2,1,1,1,2
51,-122.27,37.82,43.0,1.5045,93800.0,2,4,2,1,4
52,-122.27,37.82,41.0,1.1108,97500.0,2,3,2,1,4
53,-122.27,37.82,52.0,1.2475,104200.0,2,3,2,1,4
54,-122.28,37.82,52.0,1.6098,87500.0,2,4,3,1,5
55,-122.28,37.82,52.0,1.4113,83100.0,2,3,2,1,4
56,-122.28,37.82,52.0,1.5057,87500.0,2,4,2,1,4
57,-122.28,37.82,52.0,0.8172,85300.0,2,4,2,1,6
58,-122.28,37.82,52.0,1.2171,80300.0,2,4,3,1,4
59,-122.29,37.82,2.0,2.5625,60000.0,2,3,1,0,2
60,-122.29,37.83,52.0,3.3929,75700.0,2,5,2,1,5
61,-122.29,37.82,49.0,6.1183,75000.0,2,4,3,1,5
62,-122.29,37.81,50.0,0.9011,86100.0,2,4,3,1,6
63,-122.3,37.81,52.0,1.191,76100.0,2,5,3,1,7
64,-122.3,37.81,48.0,2.5938,73500.0,2,4,2,1,6
65,-122.3,37.81,52.0,1.1667,78400.0,2,4,3,1,5
66,-122.3,37.81,48.0,0.8056,84400.0,2,4,2,1,4
67,-122.29,37.8,52.0,2.6094,81300.0,2,4,3,1,6
68,-122.3,37.81,52.0,1.8516,85000.0,2,5,3,1,6
69,-122.29,37.81,46.0,0.9802,129200.0,2,4,2,1,4
70,-122.29,37.81,26.0,1.7719,82500.0,2,5,3,1,6
71,-122.29,37.81,46.0,0.7286,95200.0,2,3,2,1,3
72,-122.29,37.81,49.0,1.75,75000.0,2,4,3,1,5
73,-122.29,37.81,46.0,0.4999,67500.0,2,3,2,0,1
74,-122.29,37.81,20.0,2.483,137500.0,2,5,2,1,6
75,-122.28,37.81,17.0,0.9241,177500.0,2,2,1,1,2
76,-122.28,37.81,36.0,2.4464,102100.0,2,5,2,1,5
77,-122.28,37.81,19.0,1.1111,108300.0,2,4,3,1,5
78,-122.29,37.81,23.0,0.8026,112500.0,2,4,3,1,5
79,-122.28,37.8,38.0,2.0114,131300.0,2,3,2,1,4
80,-122.28,37.81,17.0,1.5,162500.0,2,3,2,1,3
81,-122.27,37.81,52.0,1.1667,112500.0,2,3,3,1,3
82,-122.28,37.81,52.0,1.5208,112500.0,2,3,2,1,3
83,-122.28,37.81,52.0,0.8075,137500.0,2,2,2,1,2
84,-122.28,37.81,35.0,1.8088,118800.0,2,5,2,1,5
85,-122.28,37.81,52.0,2.4083,98200.0,2,5,3,1,6
86,-122.27,37.81,40.0,0.977,118800.0,2,1,1,1,2
87,-122.27,37.81,10.0,0.76,162500.0,2,2,1,1,2
88,-122.27,37.8,10.0,0.9722,137500.0,2,2,3,1,2
89,-122.27,37.8,52.0,1.2434,500001.0,2,3,4,0,2
90,-122.27,37.8,16.0,2.0938,162500.0,2,2,2,1,2
91,-122.28,37.8,52.0,0.8668,137500.0,2,2,10,0,2
92,-122.28,37.8,52.0,0.75,162500.0,2,3,5,0,2
93,-122.27,37.79,27.0,2.6354,187500.0,2,3,2,1,3
94,-122.27,37.8,39.0,1.8477,179200.0,2,2,2,1,3
95,-122.26,37.8,36.0,2.0096,130000.0,2,2,1,1,2
96,-122.26,37.82,31.0,2.8345,183800.0,2,3,1,1,3
97,-122.26,37.81,29.0,2.0062,125000.0,2,3,2,1,3
98,-122.26,37.82,22.0,1.2185,170000.0,2,2,1,1,2
99,-122.26,37.82,37.0,2.6104,193100.0,2,3,1,1,3
100,-122.25,37.81,29.0,2.4912,257800.0,2,3,1,1,3
101,-122.25,37.81,28.0,3.2177,273400.0,2,3,1,1,3
102,-122.25,37.81,39.0,3.125,237500.0,2,3,1,1,3
103,-122.25,37.81,52.0,2.5795,350000.0,2,3,1,1,3
104,-122.26,37.81,34.0,2.8406,335700.0,2,3,1,1,3
105,-122.24,37.82,52.0,4.9306,313400.0,2,6,2,0,6
106,-122.24,37.81,52.0,3.2727,268500.0,2,4,1,1,4
107,-122.25,37.81,52.0,3.1691,259400.0,2,3,1,1,4
108,-122.24,37.82,52.0,3.9,275700.0,2,4,2,1,4
109,-122.25,37.82,28.0,3.9063,225000.0,2,3,1,1,4
110,-122.25,37.82,52.0,5.0917,262500.0,2,4,2,1,5
111,-122.25,37.82,32.0,2.6429,218500.0,2,3,1,1,3
112,-122.25,37.82,26.0,3.0233,255000.0,2,3,1,0,3
113,-122.25,37.83,52.0,3.1484,224100.0,2,4,1,1,4
114,-122.25,37.83,35.0,3.4722,243100.0,2,3,1,1,3
115,-122.25,37.83,52.0,3.1429,231600.0,2,4,1,0,4
116,-122.25,37.83,28.0,2.4234,218500.0,2,2,1,1,3
117,-122.25,37.83,52.0,3.0897,234100.0,2,3,1,1,4
118,-122.23,37.84,50.0,5.8596,327600.0,2,6,2,1,6
119,-122.23,37.84,47.0,5.2868,347600.0,2,6,2,0,6
120,-122.24,37.83,41.0,5.956,366100.0,2,6,2,1,6
121,-122.24,37.85,37.0,4.9643,335000.0,2,6,2,1,7
122,-122.23,37.85,52.0,6.3434,373600.0,2,6,2,1,6
123,-122.24,37.84,52.0,5.1773,389500.0,2,6,2,1,6
124,-122.24,37.85,52.0,7.2354,391100.0,2,7,2,0,7
125,-122.22,37.85,28.0,5.457,337300.0,2,5,2,1,5
126,-122.22,37.84,50.0,7.5,295200.0,2,6,2,0,6
127,-122.21,37.84,44.0,6.0194,292300.0,2,5,2,1,5
128,-122.21,37.83,40.0,7.5544,411500.0,2,7,2,1,7
129,-122.2,37.84,30.0,6.0666,311500.0,2,6,2,1,6
130,-122.21,37.84,34.0,7.0548,325900.0,2,6,2,0,6
131,-122.19,37.84,18.0,11.6017,392600.0,2,7,2,1,8
132,-122.2,37.84,35.0,7.4882,319300.0,2,6,2,1,6
133,-122.21,37.83,34.0,6.8976,333300.0,2,6,2,1,6
134,-122.19,37.83,28.0,8.2049,335200.0,2,7,2,0,6
135,-122.2,37.83,26.0,8.401,351200.0,2,7,2,1,7
136,-122.19,37.83,29.0,6.8538,368900.0,2,6,2,1,6
137,-122.19,37.82,32.0,8.317,365900.0,2,6,2,1,6
138,-122.2,37.82,37.0,7.0175,366700.0,2,6,2,1,6
139,-122.2,37.82,39.0,6.3302,362800.0,2,7,2,1,7
140,-122.18,37.81,30.0,6.3624,483300.0,2,7,2,0,5
141,-122.21,37.82,52.0,7.0549,331400.0,2,7,2,0,6
142,-122.2,37.81,45.0,6.7851,323500.0,2,6,2,1,6
143,-122.21,37.8,50.0,2.8929,216700.0,2,4,2,1,5
144,-122.21,37.8,38.0,3.0812,233100.0,2,4,1,1,4
145,-122.21,37.81,52.0,5.2402,296400.0,2,6,2,0,6
146,-122.22,37.81,52.0,6.5217,273700.0,2,5,2,1,6
147,-122.22,37.8,52.0,3.2632,227700.0,2,4,2,1,4
148,-122.22,37.8,52.0,3.0298,199600.0,2,4,2,1,5
149,-122.22,37.8,52.0,4.5428,239800.0,2,5,2,1,5
150,-122.22,37.81,52.0,4.072,270100.0,2,5,2,0,5
151,-122.22,37.81,52.0,5.3509,302100.0,2,5,1,1,5
152,-122.23,37.8,52.0,3.1603,269500.0,2,4,1,1,4
153,-122.23,37.81,52.0,4.7708,314700.0,2,6,2,1,6
154,-122.22,37.81,52.0,8.1564,390100.0,2,7,2,1,7
155,-122.23,37.81,52.0,8.8793,410300.0,2,7,3,1,8
156,-122.24,37.81,52.0,6.8591,352400.0,2,7,2,0,7
157,-122.24,37.81,52.0,6.0302,287300.0,2,6,2,0,5
158,-122.23,37.81,52.0,7.508,348700.0,2,7,2,1,7
159,-122.24,37.81,52.0,2.7477,243800.0,2,3,1,1,4
160,-122.24,37.8,52.0,2.1944,211500.0,2,5,2,0,5
161,-122.25,37.8,52.0,3.0149,218400.0,2,4,2,1,4
162,-122.24,37.81,52.0,3.675,269900.0,2,5,2,0,4
163,-122.25,37.81,46.0,3.225,218800.0,2,3,1,1,4
